imagem,indice_ponto,X_mm,Y_mm,Z_mm,u_detectado_px,v_detectado_px,u_projetado_px,v_projetado_px,erro_px
imagem_06.jpg,3,76.875000,0.000000,0.000000,722.192932,932.497986,722.853760,932.760132,0.710925
imagem_06.jpg,4,102.500000,0.000000,0.000000,683.492065,977.225037,683.848206,977.109985,0.374263
imagem_06.jpg,5,128.125000,0.000000,0.000000,638.449707,1028.353149,638.867920,1028.380615,0.419114
imagem_06.jpg,6,153.750000,0.000000,0.000000,586.089783,1088.430664,586.319885,1088.385742,0.234446
imagem_06.jpg,7,0.000000,18.750000,0.000000,764.369812,812.969482,764.142334,812.776001,0.298632
imagem_06.jpg,8,25.625000,18.750000,0.000000,735.229431,841.490662,735.008545,841.598022,0.245595
imagem_06.jpg,9,51.250000,18.750000,0.000000,702.297913,873.931335,702.414062,873.888733,0.123717
imagem_06.jpg,10,76.875000,18.750000,0.000000,665.740295,910.109558,665.669189,910.354797,0.255340
imagem_06.jpg,11,102.500000,18.750000,0.000000,623.907715,951.592224,623.869385,951.919556,0.329568
imagem_06.jpg,12,128.125000,18.750000,0.000000,576.044189,999.926697,575.807678,999.802551,0.267114
imagem_06.jpg,13,153.750000,18.750000,0.000000,520.143860,1055.612915,519.856262,1055.618896,0.287660
imagem_06.jpg,14,0.000000,37.500000,0.000000,716.540833,797.271790,716.270630,797.086121,0.327845
imagem_06.jpg,15,25.625000,37.500000,0.000000,685.351379,824.346680,685.203735,824.373291,0.150023
imagem_06.jpg,16,51.250000,37.500000,0.000000,650.689453,854.587891,650.517883,854.869873,0.330076
imagem_06.jpg,17,76.875000,37.500000,0.000000,611.644775,888.959106,611.497803,889.218689,0.298302
imagem_06.jpg,18,102.500000,37.500000,0.000000,567.592224,928.110718,567.210144,928.255432,0.408568
imagem_06.jpg,19,128.125000,37.500000,0.000000,515.937805,973.356018,516.420593,973.075439,0.558398
imagem_06.jpg,20,153.750000,37.500000,0.000000,458.295624,1025.319336,457.488190,1025.114014,0.833131
imagem_06.jpg,21,0.000000,56.250000,0.000000,670.554382,782.133606,670.505005,782.105774,0.056681
imagem_06.jpg,22,25.625000,56.250000,0.000000,637.651001,807.859680,637.687744,807.974121,0.120195
imagem_06.jpg,23,51.250000,56.250000,0.000000,601.262817,836.697266,601.111206,836.820129,0.195145
imagem_06.jpg,24,76.875000,56.250000,0.000000,560.411682,868.835266,560.039001,869.230164,0.542987
imagem_06.jpg,25,102.500000,56.250000,0.000000,513.547852,905.771301,513.516602,905.961487,0.192736
imagem_06.jpg,26,128.125000,56.250000,0.000000,460.784607,947.969299,460.296173,947.997864,0.489268
imagem_06.jpg,27,153.750000,56.250000,0.000000,398.927734,996.716003,398.747162,996.611816,0.208474
imagem_06.jpg,28,0.000000,75.000000,0.000000,626.338074,767.900757,626.673767,767.774109,0.358789
imagem_06.jpg,29,25.625000,75.000000,0.000000,592.223511,792.415222,592.257996,792.326172,0.095494
imagem_06.jpg,30,51.250000,75.000000,0.000000,554.222839,819.485474,553.957336,819.647400,0.310985
imagem_06.jpg,31,76.875000,75.000000,0.000000,511.318390,850.248535,511.019470,850.273376,0.299950
imagem_06.jpg,32,102.500000,75.000000,0.000000,463.056366,884.846619,462.477844,884.890991,0.580221
imagem_06.jpg,33,128.125000,75.000000,0.000000,405.863678,924.852417,407.086365,924.382812,1.309768
imagem_06.jpg,34,153.750000,75.000000,0.000000,343.508148,970.085693,343.248840,969.874390,0.334499
imagem_06.jpg,35,0.000000,93.750000,0.000000,584.828003,754.085693,584.614502,754.034912,0.219457
imagem_06.jpg,36,25.625000,93.750000,0.000000,549.001404,777.570190,548.728088,777.361267,0.344021
imagem_06.jpg,37,51.250000,93.750000,0.000000,509.065155,803.192322,508.845032,803.267761,0.232692
imagem_06.jpg,38,76.875000,93.750000,0.000000,464.395782,832.422485,464.203033,832.244263,0.262518
imagem_06.jpg,39,102.500000,93.750000,0.000000,414.251526,864.847473,413.833862,864.913574,0.422862
imagem_06.jpg,40,128.125000,93.750000,0.000000,356.442749,902.281677,356.509338,902.066711,0.225043
imagem_06.jpg,41,153.750000,93.750000,0.000000,290.290802,944.533386,290.690521,944.697083,0.431940
imagem_06.jpg,42,0.000000,112.500000,0.000000,544.035400,740.693176,544.179626,740.837891,0.204312
imagem_06.jpg,43,25.625000,112.500000,0.000000,506.697144,763.085754,506.933044,763.018982,0.245169
imagem_06.jpg,44,51.250000,112.500000,0.000000,465.894714,787.477356,465.592377,787.607849,0.329297
imagem_06.jpg,45,76.875000,112.500000,0.000000,418.913483,815.330261,419.392395,815.052795,0.553484
imagem_06.jpg,46,102.500000,112.500000,0.000000,367.269318,846.161743,367.374146,845.918213,0.265134
imagem_06.jpg,47,128.125000,112.500000,0.000000,307.629089,880.757751,308.343201,880.912415,0.730668
imagem_06.jpg,48,153.750000,112.500000,0.000000,240.667526,920.636353,240.837723,920.910889,0.323012
imagem_10.jpg,0,0.000000,0.000000,0.000000,379.449280,414.951508,379.506653,414.510773,0.444453
imagem_10.jpg,1,25.625000,0.000000,0.000000,378.680756,449.668427,379.115326,449.436829,0.492432
imagem_10.jpg,2,51.250000,0.000000,0.000000,378.351196,486.176270,378.693237,486.348267,0.382851
imagem_10.jpg,3,76.875000,0.000000,0.000000,377.712463,525.286438,378.227692,525.398254,0.527222
imagem_10.jpg,4,102.500000,0.000000,0.000000,377.414459,566.727051,377.701996,566.762146,0.289670
imagem_10.jpg,5,128.125000,0.000000,0.000000,376.804413,610.655640,377.094666,610.644104,0.290482
imagem_10.jpg,6,153.750000,0.000000,0.000000,376.497742,657.582886,376.379059,657.286743,0.319039
imagem_10.jpg,7,0.000000,18.750000,0.000000,341.456299,418.550873,341.311340,418.320801,0.271930
imagem_10.jpg,8,25.625000,18.750000,0.000000,339.736786,453.142822,339.851013,453.349579,0.236212
imagem_10.jpg,9,51.250000,18.750000,0.000000,338.216370,490.289337,338.300232,490.376495,0.120952
imagem_10.jpg,10,76.875000,18.750000,0.000000,336.554626,529.348450,336.640076,529.558411,0.226683
imagem_10.jpg,11,102.500000,18.750000,0.000000,334.856445,570.850708,334.846436,571.074829,0.224345
imagem_10.jpg,12,128.125000,18.750000,0.000000,332.984436,614.992615,332.889038,615.134827,0.171245
imagem_10.jpg,13,153.750000,18.750000,0.000000,330.829041,662.239258,330.731079,661.985779,0.271750
imagem_10.jpg,14,0.000000,37.500000,0.000000,303.392365,422.079163,303.019012,422.139221,0.378152
imagem_10.jpg,15,25.625000,37.500000,0.000000,300.637482,457.284851,300.473267,457.269318,0.164948
imagem_10.jpg,16,51.250000,37.500000,0.000000,297.911865,494.321869,297.775055,494.411194,0.163389
imagem_10.jpg,17,76.875000,37.500000,0.000000,294.772156,533.409912,294.899231,533.725769,0.340461
imagem_10.jpg,18,102.500000,37.500000,0.000000,291.719299,575.254395,291.814392,575.397156,0.171533
imagem_10.jpg,19,128.125000,37.500000,0.000000,288.494781,619.567017,288.482025,619.639343,0.073443
imagem_10.jpg,20,153.750000,37.500000,0.000000,285.143860,666.781006,284.855774,666.704773,0.298002
imagem_10.jpg,21,0.000000,56.250000,0.000000,264.924683,426.074463,264.636719,425.977722,0.303779
imagem_10.jpg,22,25.625000,56.250000,0.000000,261.083527,461.235138,260.989868,461.208923,0.097258
imagem_10.jpg,23,51.250000,56.250000,0.000000,257.320038,498.450714,257.126343,498.466217,0.194314
imagem_10.jpg,24,76.875000,56.250000,0.000000,253.329498,537.769653,253.014877,537.914734,0.346460
imagem_10.jpg,25,102.500000,56.250000,0.000000,248.660599,579.486023,248.617188,579.743408,0.261021
imagem_10.jpg,26,128.125000,56.250000,0.000000,243.858917,624.221497,243.887039,624.171082,0.057728
imagem_10.jpg,27,153.750000,56.250000,0.000000,239.109482,671.403687,238.769577,671.455139,0.343777
imagem_10.jpg,28,0.000000,75.000000,0.000000,226.277023,429.908844,226.176849,429.847900,0.117256
imagem_10.jpg,29,25.625000,75.000000,0.000000,221.606445,465.301117,221.415207,465.181152,0.225751
imagem_10.jpg,30,51.250000,75.000000,0.000000,216.566620,502.456085,216.370911,502.555206,0.219379
imagem_10.jpg,31,76.875000,75.000000,0.000000,211.106873,542.104675,211.006851,542.139465,0.105899
imagem_10.jpg,32,102.500000,75.000000,0.000000,205.426453,584.196594,205.278320,584.127380,0.163505
imagem_10.jpg,33,128.125000,75.000000,0.000000,199.245926,628.638062,199.132172,628.742737,0.154586
imagem_10.jpg,34,153.750000,75.000000,0.000000,192.571945,676.263367,192.506348,676.247009,0.067606
imagem_10.jpg,35,0.000000,93.750000,0.000000,187.679428,433.747437,187.656479,433.760529,0.026421
imagem_10.jpg,36,25.625000,93.750000,0.000000,181.765747,469.222351,181.769638,469.197906,0.024752
imagem_10.jpg,37,51.250000,93.750000,0.000000,175.666504,506.713745,175.533020,506.690735,0.135453
imagem_10.jpg,38,76.875000,93.750000,0.000000,168.903549,546.521240,168.904083,546.412598,0.108644
imagem_10.jpg,39,102.500000,93.750000,0.000000,161.688644,588.677246,161.832352,588.561340,0.184624
imagem_10.jpg,40,128.125000,93.750000,0.000000,154.325562,633.378052,154.258759,633.364929,0.068080
imagem_10.jpg,41,153.750000,93.750000,0.000000,145.996033,681.481323,146.115479,681.088257,0.410814
imagem_10.jpg,42,0.000000,112.500000,0.000000,148.794998,437.668854,149.096207,437.724731,0.306348
imagem_10.jpg,43,25.625000,112.500000,0.000000,142.060715,473.161072,142.078033,473.269135,0.109442
imagem_10.jpg,44,51.250000,112.500000,0.000000,134.570969,510.713928,134.642654,510.883331,0.183946
imagem_10.jpg,45,76.875000,112.500000,0.000000,126.656059,550.693787,126.742554,550.744690,0.100362
imagem_10.jpg,46,102.500000,112.500000,0.000000,118.019577,593.244141,118.322304,593.054993,0.356960
imagem_10.jpg,47,128.125000,112.500000,0.000000,109.198883,638.052917,109.318039,638.045654,0.119377
imagem_10.jpg,48,153.750000,112.500000,0.000000,99.442261,686.054260,99.657639,685.984009,0.226546
